"","code","name","theme","source","freq","lastupdate","status"
"82","BPAG_AR","Balanço de pagamentos - ativos de reserva","Macroeconomic","Bacen/BP (BPM6)","Yearly",2025-01-27,"Active"
"83","BPAG_BC","Balanço de pagamentos - balança comercial - saldo","Macroeconomic","Bacen/BP (BPM6)","Yearly",2025-07-25,"Active"
"84","BPAG_BCM","Balanço de pagamentos - balança comercial - importações","Macroeconomic","Bacen/BP (BPM6)","Yearly",2025-07-25,"Active"
"85","BPAG_BCX","Balanço de pagamentos - balança comercial - exportações","Macroeconomic","Bacen/BP (BPM6)","Yearly",2025-07-25,"Active"
"86","BPAG_CF","Balanço de pagamentos - conta Financeira - saldo (Captações - Concessões)","Macroeconomic","Bacen/BP (BPM6)","Yearly",2025-07-25,"Active"
"87","BPAG_CK","Balanço de pagamentos - conta capital - saldo","Macroeconomic","Bacen/BP (BPM6)","Yearly",2025-01-27,"Active"
"88","BPAG_TC","Balanço de pagamentos - transações correntes - saldo","Macroeconomic","Bacen/BP (BPM6)","Yearly",2025-07-25,"Active"
"89","BPAG12_AR12","Balanço de pagamentos - ativos de reserva","Macroeconomic","Bacen/BP (BPM6)","Monthly",2025-07-25,"Active"
"90","BPAG12_BC12","Balanço de pagamentos - balança comercial - saldo","Macroeconomic","Bacen/BP (BPM6)","Monthly",2025-07-25,"Active"
"91","BPAG12_BCM12","Balanço de pagamentos - balança comercial - importações","Macroeconomic","Bacen/BP (BPM6)","Monthly",2025-07-25,"Active"
"92","BPAG12_BCX12","Balanço de pagamentos - balança comercial - exportações","Macroeconomic","Bacen/BP (BPM6)","Monthly",2025-07-25,"Active"
"93","BPAG12_CF12","Balanço de pagamentos - conta Financeira - saldo (captações - concessões)","Macroeconomic","Bacen/BP (BPM6)","Monthly",2025-07-25,"Active"
"94","BPAG12_CK12","Balanço de pagamentos - conta capital - saldo","Macroeconomic","Bacen/BP (BPM6)","Monthly",2025-07-25,"Active"
"95","BPAG12_CKD12","Balanço de pagamentos - conta capital - despesa","Macroeconomic","Bacen/BP (BPM6)","Monthly",2025-04-15,"Inactive"
"96","BPAG12_CKR12","Balanço de pagamentos - conta capital - receita","Macroeconomic","Bacen/BP (BPM6)","Monthly",2025-04-15,"Inactive"
"97","BPAG12_ICAAA12","Balanço de pagamentos - investimento carteira - ativos - investimento ações - aquisição","Macroeconomic","Bacen/BP (BPM6)","Monthly",2025-07-25,"Active"
"98","BPAG12_IDE12","Balanço de pagamentos - investimento direto exterior - saldo","Macroeconomic","Bacen/BP (BPM6)","Monthly",2025-07-25,"Inactive"
"99","BPAG12_IDP12","Balanço de pagamentos - investimento direto país - saldo","Macroeconomic","Bacen/BP (BPM6)","Monthly",2025-07-25,"Active"
"100","BPAG12_IDPI12","Balanço de pagamentos - investimento direto país - ingressos","Macroeconomic","Bacen/BP (BPM6)","Monthly",2025-07-25,"Active"
"101","BPAG12_RP12","Balanço de pagamentos - renda primária - saldo","Macroeconomic","Bacen/BP (BPM6)","Monthly",2025-07-25,"Active"
"102","BPAG12_SER12","Balanço de pagamentos - serviços - saldo","Macroeconomic","Bacen/BP (BPM6)","Monthly",2025-07-25,"Active"
"103","BPAG12_SERD12","Balanço de pagamentos - serviços - despesa","Macroeconomic","Bacen/BP (BPM6)","Monthly",2025-04-15,"Inactive"
"104","BPAG12_TC12","Balanço de pagamentos - transações correntes - saldo","Macroeconomic","Bacen/BP (BPM6)","Monthly",2025-07-25,"Active"
"105","BPAG12_TCPIB12","Balanço de pagamentos - transações correntes","Macroeconomic","Bacen/BP (BPM6)","Monthly",2025-04-29,"Active"
"106","BM12_IPCA2012","IPCA - núcleo médias aparadas com suavização - taxa de variação","Macroeconomic","Bacen/Boletim/Ativ. Ec.","Monthly",2025-07-10,"Active"
"107","BM12_IPCA20N12","IPCA -  núcleo médias aparadas sem suavização - taxa de variação","Macroeconomic","Bacen/Boletim/Ativ. Ec.","Monthly",2025-07-10,"Active"
"108","BM12_IPCACOM12","IPCA - preços livres - comercializáveis - taxa de variação","Macroeconomic","Bacen/Boletim/Ativ. Ec.","Monthly",2025-07-10,"Active"
"109","BM12_IPCAEXC12","IPCA - núcleo por exclusão - sem monitorados e alimentos no domicílio - taxa de variação","Macroeconomic","Bacen/Boletim/Ativ. Ec.","Monthly",2025-07-10,"Active"
"110","BM12_IPCAEXCEX212","IPCA - núcleo por exclusão - EX1 - taxa de variação","Macroeconomic","Bacen/Boletim/Ativ. Ec.","Monthly",2025-07-10,"Active"
"111","BM12_IPCAEXP1212","Expectativa média de Inflação - IPCA - taxa acumulada para os próximos doze meses","Macroeconomic","Bacen/Boletim/Ativ. Ec.","Monthly",2025-07-08,"Active"
"112","BM12_IPCAEXP612","Expectativa média de Inflação - IPCA - taxa anualizada para os próximos seis meses","Macroeconomic","Bacen/Boletim/Ativ. Ec.","Monthly",2025-07-08,"Active"
"113","BM12_IPCANCOM12","IPCA - preços livres - não comercializáveis - taxa de variação","Macroeconomic","Bacen/Boletim/Ativ. Ec.","Monthly",2025-07-10,"Active"
"114","BM12_IPCAPL12","IPCA - preços livres - taxa de variação","Macroeconomic","Bacen/Boletim/Ativ. Ec.","Monthly",2025-07-10,"Active"
"115","BM12_IPCAPLBD12","IPCA - preços livres - bens duráveis - taxa de variação","Macroeconomic","Bacen/Boletim/Ativ. Ec.","Monthly",2025-07-10,"Active"
"116","BM12_IPCAPLBND12","IPCA - preços livres - bens não duráveis - taxa de variação","Macroeconomic","Bacen/Boletim/Ativ. Ec.","Monthly",2025-07-10,"Inactive"
"117","BM12_IPCAPLBSD12","IPCA - preços livres - bens semi duráveis - taxa de variação","Macroeconomic","Bacen/Boletim/Ativ. Ec.","Monthly",2025-07-10,"Inactive"
"118","BM12_IPCAPLSER12","IPCA - preços livres - serviços - taxa de variação","Macroeconomic","Bacen/Boletim/Ativ. Ec.","Monthly",2025-07-10,"Active"
"119","BM12_IPCAPM12","IPCA - preços monitorados - taxa de variação","Macroeconomic","Bacen/Boletim/Ativ. Ec.","Monthly",2025-07-10,"Active"
"120","BM12_NUCLEOPIPCA12","Núcleo de dupla ponderação - IPCA","Macroeconomic","Bacen/Boletim/Ativ. Ec.","Monthly",2025-07-10,"Active"
"121","BM12_PIB12","PIB","Macroeconomic","Bacen/Boletim/Ativ. Ec.","Monthly",2025-07-11,"Active"
"122","BM_DEXTEI","Dívida externa bruta - total (inclui empréstimos intercompanhias)","Macroeconomic","Bacen/Boletim/BP","Yearly",2025-07-10,"Active"
"123","BM_DEXUS","Dívida externa bruta -  distribuição de moeda - dólar americano","Macroeconomic","Bacen/Boletim/BP","Yearly",2025-07-10,"Active"
"124","BM_ERC","Taxa de câmbio - R$ / US$ - comercial - compra - média","Macroeconomic","Bacen/Boletim/BP","Yearly",2025-01-13,"Active"
"125","BM_ERCF","Taxa de câmbio - R$ / US$ - comercial - compra - fim período","Macroeconomic","Bacen/Boletim/BP","Yearly",2025-01-13,"Active"
"126","BM_ERV","Taxa de câmbio - R$ / US$ - comercial - venda - média","Macroeconomic","Bacen/Boletim/BP","Yearly",2025-01-13,"Active"
"127","BM_ERVF","Taxa de câmbio - R$ / US$ - comercial - venda - fim período","Macroeconomic","Bacen/Boletim/BP","Yearly",2025-01-13,"Active"
"128","PAN_DEXT","Dívida externa bruta","Macroeconomic","Bacen/Boletim/BP","Yearly",2025-07-10,"Active"
"129","BM12_CFCC12","Câmbio contratado - financeiro - compra","Macroeconomic","Bacen/Boletim/BP","Monthly",2025-07-16,"Active"
"130","BM12_ERC12","Taxa de câmbio - R$ / US$ - comercial - compra - média","Macroeconomic","Bacen/Boletim/BP","Monthly",2025-07-01,"Active"
"131","BM12_ERCF12","Taxa de câmbio - R$ / US$ - comercial - compra - fim período","Macroeconomic","Bacen/Boletim/BP","Monthly",2025-07-01,"Active"
"132","BM12_ERV12","Taxa de câmbio - R$ / US$ - comercial - venda - média","Macroeconomic","Bacen/Boletim/BP","Monthly",2025-07-01,"Active"
"133","BM12_ERVF12","Taxa de câmbio - R$ / US$ - comercial - venda - fim período","Macroeconomic","Bacen/Boletim/BP","Monthly",2025-07-01,"Active"
"134","BM12_MCC12","Câmbio contratado - comercial - importação","Macroeconomic","Bacen/Boletim/BP","Monthly",2025-07-16,"Active"
"135","BM12_SBCCC12","Câmbio contratado - comercial","Macroeconomic","Bacen/Boletim/BP","Monthly",2025-07-16,"Active"
"136","BM12_SFCC12","Câmbio contratado - financeiro","Macroeconomic","Bacen/Boletim/BP","Monthly",2025-07-16,"Active"
"137","BM12_SGCC12","Câmbio contratado - comercial e financeiro","Macroeconomic","Bacen/Boletim/BP","Monthly",2025-07-16,"Active"
"138","BM12_VFCC12","Câmbio contratado - financeiro - venda","Macroeconomic","Bacen/Boletim/BP","Monthly",2025-07-16,"Active"
"139","BM12_XCC12","Câmbio contratado - comercial - exportação","Macroeconomic","Bacen/Boletim/BP","Monthly",2025-07-16,"Active"
"140","PAN12_ERV12","Taxa de câmbio nominal","Macroeconomic","Bacen/Boletim/BP","Monthly",2025-07-01,"Active"
"141","PAN4_ERV4","Taxa de câmbio nominal","Macroeconomic","Bacen/Boletim/BP","Quarterly",2025-07-01,"Active"
"142","PAN_TJOVER","Taxa de juros nominal - Over / Selic","Macroeconomic","Bacen/Boletim/M. Finan.","Yearly",2024-12-31,"Active"
"143","BM366_TJOVER366","Taxa de juros - Selic - fixada pelo Copom","Macroeconomic","Bacen/Boletim/M. Finan.","Daily",2025-07-25,"Active"
"144","BM12_RNDPO12","Poupança - rentabilidade - depósitos a partir de 04.05.2012  (1º dia do mês)","Macroeconomic","Bacen/Boletim/M. Finan.","Monthly",2025-07-02,"Active"
"145","BM12_TJCDI12","Taxa de juros - CDI / Over - acumulada no mês","Macroeconomic","Bacen/Boletim/M. Finan.","Monthly",2025-07-27,"Active"
"146","BM12_TJLP12","Taxa de juros - TJLP","Macroeconomic","Bacen/Boletim/M. Finan.","Monthly",2025-07-01,"Active"
"147","BM12_TJOVER12","Taxa de juros - Over / Selic - acumulada no mês","Macroeconomic","Bacen/Boletim/M. Finan.","Monthly",2025-07-27,"Active"
"148","BM12_TJTBF12","Taxa de juros - TBF - primeiro dia do mês","Macroeconomic","Bacen/Boletim/M. Finan.","Monthly",2025-07-02,"Active"
"149","BM12_TJTR12","Taxa de juros - TR - primeiro dia do mês","Macroeconomic","Bacen/Boletim/M. Finan.","Monthly",2025-07-02,"Active"
"150","PAN12_TJOVER12","Taxa de juros nominal - Over / Selic","Macroeconomic","Bacen/Boletim/M. Finan.","Monthly",2025-07-25,"Active"
"151","BPAG4_DEX4","Dívida externa - Dívida externa bruta","Macroeconomic","Bacen/Dív. Ext.","Quarterly",2025-04-01,"Active"
"152","BPAG4_DEXBC4","Dívida externa - Banco Central","Macroeconomic","Bacen/Dív. Ext.","Quarterly",2025-04-01,"Active"
"153","BM_DEXGFN","DLSP - dívida externa líquida - governo federal e Banco Central","Macroeconomic","Bacen/Notas Imprensa/F. Púb.","Yearly",2025-01-31,"Active"
"154","BM_DINGFN","DLSP - dívida interna líquida - governo federal e Banco Central","Macroeconomic","Bacen/Notas Imprensa/F. Púb.","Yearly",2025-02-03,"Active"
"155","BM_DINSPN","DLSP - dívida interna líquida - total","Macroeconomic","Bacen/Notas Imprensa/F. Púb.","Yearly",2025-02-03,"Active"
"156","BM_DPIPP","Dívida mobiliária interna federal - fora do BC - posição em carteira - fim de período","Macroeconomic","Bacen/Notas Imprensa/F. Púb.","Yearly",2024-06-05,"Inactive"
"157","BM_DTGFN","DSLP - total - governo federal e Banco Central","Macroeconomic","Bacen/Notas Imprensa/F. Púb.","Yearly",2025-02-03,"Active"
"158","BM_NFGFNN","NFSP - gov. federal e Banco Central - nominal - c/ desvalorização cambial - INATIVA","Macroeconomic","Bacen/Notas Imprensa/F. Púb.","Yearly",2010-03-18,"Inactive"
"159","BM_NFSPPN","NFSP - setor público - primário - c/ desvalorização cambial - INATIVA","Macroeconomic","Bacen/Notas Imprensa/F. Púb.","Yearly",2010-03-18,"Inactive"
"160","BM12_DEXEMN12","DLSP - dívida externa líquida - estados e municípios","Macroeconomic","Bacen/Notas Imprensa/F. Púb.","Monthly",2025-07-02,"Inactive"
"161","BM12_DEXSPN12","DLSP - dívida externa líquida - total","Macroeconomic","Bacen/Notas Imprensa/F. Púb.","Monthly",2025-07-02,"Inactive"
"162","BM12_DEXSPY12","DLSP - dívida externa líquida - total","Macroeconomic","Bacen/Notas Imprensa/F. Púb.","Monthly",2025-07-02,"Active"
"163","BM12_DIFISPN12","DLSP - Dívida Fiscal Líquida - fim de período","Macroeconomic","Bacen/Notas Imprensa/F. Púb.","Monthly",2025-07-02,"Inactive"
"164","BM12_DIFISPY12","DLSP - Dívida Fiscal Líquida - fim de período","Macroeconomic","Bacen/Notas Imprensa/F. Púb.","Monthly",2025-07-11,"Active"
"165","BM12_DINEMN12","DLSP - dívida interna líquida - estados e municípios","Macroeconomic","Bacen/Notas Imprensa/F. Púb.","Monthly",2025-07-02,"Inactive"
"166","BM12_DINGFY12","DLSP - dívida interna líquida - governo federal e Banco Central","Macroeconomic","Bacen/Notas Imprensa/F. Púb.","Monthly",2025-07-11,"Active"
"167","BM12_DINSPN12","DLSP - dívida interna líquida - total","Macroeconomic","Bacen/Notas Imprensa/F. Púb.","Monthly",2025-07-02,"Active"
"168","BM12_DINSPY12","DLSP - dívida interna líquida - total","Macroeconomic","Bacen/Notas Imprensa/F. Púb.","Monthly",2025-07-11,"Active"
"169","BM12_DTEEY12","DSLP -  total - empresas estatais","Macroeconomic","Bacen/Notas Imprensa/F. Púb.","Monthly",2025-06-30,"Inactive"
"170","BM12_DTEMY12","DSLP -  total - estados e municípios","Macroeconomic","Bacen/Notas Imprensa/F. Púb.","Monthly",2025-06-30,"Active"
"171","BM12_DTGFN12","DSLP - total - governo federal e Banco Central","Macroeconomic","Bacen/Notas Imprensa/F. Púb.","Monthly",2025-06-30,"Active"
"172","BM12_DTGFY12","DSLP - total - governo federal e Banco Central","Macroeconomic","Bacen/Notas Imprensa/F. Púb.","Monthly",2025-07-11,"Active"
"173","BM12_DTSPY12","DSLP - total - setor público não-financeiro","Macroeconomic","Bacen/Notas Imprensa/F. Púb.","Monthly",2025-07-11,"Active"
"174","BM12_NFEMJNNS12","NFSP - estados e municípios - juros nominais - sem desvalorização cambial","Macroeconomic","Bacen/Notas Imprensa/F. Púb.","Monthly",2025-06-30,"Inactive"
"175","BM12_NFEMJNYS12","NFSP - estados e municípios - juros nominais - sem desvalorização cambial - acumulado em 12 meses","Macroeconomic","Bacen/Notas Imprensa/F. Púb.","Monthly",2025-06-30,"Inactive"
"176","BM12_NFEMNYS12","NFSP - estados e municípios - nominal - sem desvalorização cambial - acumulado em 12 meses","Macroeconomic","Bacen/Notas Imprensa/F. Púb.","Monthly",2025-06-30,"Inactive"
"177","BM12_NFEMPNS12","NFSP - estados e municípios - primário - sem desvalorização cambial","Macroeconomic","Bacen/Notas Imprensa/F. Púb.","Monthly",2025-06-30,"Inactive"
"178","BM12_NFEMPYS12","NFSP - estados e municípios - primário - sem desvalorização cambial - acumulado em 12 meses","Macroeconomic","Bacen/Notas Imprensa/F. Púb.","Monthly",2025-06-30,"Inactive"
"179","BM12_NFGFJNNS12","NFSP - governo federal e Banco Central - juros nominais - sem desvalorização cambial","Macroeconomic","Bacen/Notas Imprensa/F. Púb.","Monthly",2025-06-30,"Inactive"
"180","BM12_NFGFJNYS12","NFSP - governo federal e Banco Central - juros nominais - sem desvalorização cambial - acumulado em 12 meses","Macroeconomic","Bacen/Notas Imprensa/F. Púb.","Monthly",2025-06-30,"Inactive"
"181","BM12_NFGFNYS12","NFSP - governo federal e Banco Central - nominal - sem desvalorização cambial - acumulado em 12 meses","Macroeconomic","Bacen/Notas Imprensa/F. Púb.","Monthly",2025-06-30,"Inactive"
"182","BM12_NFGFPNS12","NFSP - governo federal e Banco Central - primário  - sem desvalorização cambial","Macroeconomic","Bacen/Notas Imprensa/F. Púb.","Monthly",2025-06-30,"Active"
"183","BM12_NFGFPYS12","NFSP - governo federal e Banco Central - primário - sem desvalorização cambial - acumulado em 12 meses","Macroeconomic","Bacen/Notas Imprensa/F. Púb.","Monthly",2025-06-30,"Active"
