date;precipitation
2020-10;1292761,635
2020-11;1269621,822
2020-12;1935413,752
2021-01;3405654,938
2021-02;2240165,581
2021-03;2386840,312
2021-04;970634,0209
2021-05;2009769,814
2021-06;2816467,746
2021-07;1020528,771
2021-08;1497799,954
2021-09;3213453,348
2021-10;1766363,925
2021-11;1575226,707
2021-12;583108,6453
2022-01;2334813,233
2022-02;1931539,686
2022-03;2765695,907
2022-04;3606156,6
2022-05;2264515,226
2022-06;2111590,011
2022-07;2519619,264
2022-08;1976078,019
2022-09;1125680,161
2022-10;1981481,712
2022-11;1027433,27
2022-12;1106471,186
2023-01;1221150,193
2023-02;1524600,812
2023-03;2429436,376
2023-04;859085,4151
2023-05;2951923,754
2023-06;1493017,649
2023-07;2662300,412
2023-08;1362902,49
2023-09;5633213,515
2023-10;3610345,085
2023-11;4593521,675
2023-12;3763851,869
2024-01;2346820,001
2024-02;2150710,671
2024-03;3832214,124
2024-04;4952589,304
2024-05;5217820,864
2024-06;2367866,408
2024-07;847673,555
2024-08;2398125,55
2024-09;2760067,897
2024-10;2461318,155
2024-11;1951622,895
2024-12;2453076,741
2025-01;1425349,058
2025-02;2395543,796
2025-03;1743424,365
2025-04;1801416,004
2025-05;3639800,176
2025-06;3932830,684
2025-07;1588304,566
2025-08;2278994,562
